algorithm,search_method,params,total_profit,average_daily_profit,pct_of_upper,rank
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 4.498432668969444e-05, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.0, ""underage"": null}",3638716.0,117377.93548387097,90.62962492496756,57
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 5.4286754393238594e-05, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.0, ""underage"": null}",3638716.0,117377.93548387097,90.62962492496756,57
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.00020235896477251554, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3638533.0,117372.03225806452,90.62506693765519,59
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.0007543120063354615, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3637138.0,117327.03225806452,90.59032162453641,60
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.00020235896477251554, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3636533.0,117307.51612903226,90.5752528686677,61
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 2.559547922699533e-05, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3635409.0,117271.25806451614,90.54725736189671,62
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 7.906043210907701e-05, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3634867.0,117253.7741935484,90.5337577492011,63
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 9.540954763499944e-05, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3634590.0,117244.83870967742,90.52685850064634,64
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.00020235896477251554, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3633485.0,117209.19354838709,90.49933622753075,65
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 3.0888435964774785e-05, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3632945.0,117191.7741935484,90.48588642890411,66
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 3.0888435964774785e-05, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.0, ""underage"": null}",3632901.0,117190.35483870968,90.4847905193864,67
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 6.55128556859551e-05, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3631940.0,117159.35483870968,90.4608548592379,68
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 3.727593720314938e-05, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.0, ""underage"": null}",3631716.0,117152.12903225806,90.45527568351129,69
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 5.4286754393238594e-05, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3631528.0,117146.06451612903,90.45059316102648,70
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 2.1209508879201926e-05, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3631033.0,117130.09677419355,90.43826417895207,71
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 1.4563484775012445e-05, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3628540.0,117049.67741935483,90.37617094195913,72
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.00011513953993264469, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3628377.0,117044.41935483871,90.37211109533666,73
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 3.727593720314938e-05, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3627534.0,117017.2258064516,90.35111446525842,74
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.00016768329368110067, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3626416.0,116981.16129032258,90.32326840069442,75
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.0010985411419875584, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3623267.0,116879.58064516129,90.24483614907358,76
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 3.727593720314938e-05, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.0, ""underage"": null}",3620896.0,116803.09677419355,90.1857815702889,77
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 7.906043210907701e-05, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.0, ""underage"": null}",3620716.0,116797.29032258065,90.18129830408003,78
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 4.498432668969444e-05, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3620321.0,116784.54838709677,90.17146002545499,79
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 7.906043210907701e-05, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.0, ""underage"": null}",3620248.0,116782.19354838709,90.16964181193694,80
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 7.906043210907701e-05, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.0, ""underage"": null}",3620248.0,116782.19354838709,90.16964181193694,80
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.00042919342601287783, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3620033.0,116775.25806451614,90.16428679952078,82
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 3.727593720314938e-05, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.0, ""underage"": null}",3619896.0,116770.83870967742,90.16087453579514,83
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.0005179474679231213, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3619851.0,116769.3870967742,90.15975371924293,84
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 6.55128556859551e-05, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.0, ""underage"": null}",3619248.0,116749.93548387097,90.14473477744319,85
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 6.55128556859551e-05, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.0, ""underage"": null}",3619248.0,116749.93548387097,90.14473477744319,85
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 6.55128556859551e-05, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.0, ""underage"": null}",3619248.0,116749.93548387097,90.14473477744319,85
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 3.0888435964774785e-05, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.0, ""underage"": null}",3619081.0,116744.54838709677,90.14057530268273,88
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 3.0888435964774785e-05, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.0, ""underage"": null}",3618081.0,116712.29032258065,90.11566826818898,89
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.0005179474679231213, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3617851.0,116704.87096774194,90.10993965025543,90
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 5.4286754393238594e-05, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.0, ""underage"": null}",3616248.0,116653.16129032258,90.07001367396194,91
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 5.4286754393238594e-05, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.0, ""underage"": null}",3616248.0,116653.16129032258,90.07001367396194,91
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 9.540954763499944e-05, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3615590.0,116631.93548387097,90.05362484526505,93
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 1.4563484775012445e-05, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.0, ""underage"": null}",3615572.0,116631.35483870968,90.05317651864416,94
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.00011513953993264469, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3615377.0,116625.06451612903,90.04831964691788,95
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 1e-05, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3614725.0,116604.03225806452,90.03208026042795,96
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 4.498432668969444e-05, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3613789.0,116573.83870967742,90.0087672761418,97
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 3.0888435964774785e-05, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3613534.0,116565.6129032258,90.0024159823459,98
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 1.757510624854793e-05, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.0, ""underage"": null}",3612926.0,116546.0,89.9872725053737,99
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 5.4286754393238594e-05, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3612251.0,116524.2258064516,89.97046025709041,100
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 2.559547922699533e-05, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.0, ""underage"": null}",3610834.0,116478.51612903226,89.93516698921276,101
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 1.2067926406393289e-05, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.0, ""underage"": null}",3609622.0,116439.41935483871,89.90497966340634,102
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.00035564803062231287, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3609221.0,116426.48387096774,89.89499194257434,103
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 6.55128556859551e-05, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3608704.0,116409.80645161291,89.88211500574107,104
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 1e-05, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3607440.0,116369.03225806452,89.85063251414097,105
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 0.0010985411419875584, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3607267.0,116363.45161290323,89.84632359717355,106
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 1.4563484775012445e-05, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.0, ""underage"": null}",3607211.0,116361.64516129032,89.8449288032419,107
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 1.4563484775012445e-05, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.0, ""underage"": null}",3606211.0,116329.3870967742,89.82002176874815,108
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 2.1209508879201926e-05, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3604033.0,116259.12903225806,89.76577424762075,109
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 1.4563484775012445e-05, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3603540.0,116243.2258064516,89.75349507961533,110
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 2.559547922699533e-05, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.0, ""underage"": null}",3602278.0,116202.51612903226,89.72206240208422,111
ewf,grid,"{""cost"": ""newsvendor"", ""eta"": 2.559547922699533e-05, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.0, ""underage"": null}",3602278.0,116202.51612903226,89.72206240208422,111
