algorithm,search_method,params,total_profit,average_daily_profit,pct_of_upper,rank
ewf,random,"{""cost"": ""newsvendor"", ""eta"": 0.0009102981779915217, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3640351.0,117430.67741935483,90.67034792636484,39
ewf,random,"{""cost"": ""newsvendor"", ""eta"": 4.498432668969444e-05, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.0, ""underage"": null}",3639716.0,117410.19354838709,90.65453195946131,41
ewf,random,"{""cost"": ""newsvendor"", ""eta"": 4.498432668969444e-05, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.0, ""underage"": null}",3639716.0,117410.19354838709,90.65453195946131,41
ewf,random,"{""cost"": ""newsvendor"", ""eta"": 4.498432668969444e-05, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.0, ""underage"": null}",3638716.0,117377.93548387097,90.62962492496756,43
ewf,random,"{""cost"": ""newsvendor"", ""eta"": 4.498432668969444e-05, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.0, ""underage"": null}",3638716.0,117377.93548387097,90.62962492496756,43
ewf,random,"{""cost"": ""newsvendor"", ""eta"": 5.4286754393238594e-05, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.0, ""underage"": null}",3638716.0,117377.93548387097,90.62962492496756,43
ewf,random,"{""cost"": ""newsvendor"", ""eta"": 0.0007543120063354615, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3637138.0,117327.03225806452,90.59032162453641,46
ewf,random,"{""cost"": ""newsvendor"", ""eta"": 0.00020235896477251554, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3636533.0,117307.51612903226,90.5752528686677,47
ewf,random,"{""cost"": ""newsvendor"", ""eta"": 2.559547922699533e-05, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3635409.0,117271.25806451614,90.54725736189671,48
ewf,random,"{""cost"": ""newsvendor"", ""eta"": 9.540954763499944e-05, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3634590.0,117244.83870967742,90.52685850064634,49
ewf,random,"{""cost"": ""newsvendor"", ""eta"": 9.540954763499944e-05, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3634590.0,117244.83870967742,90.52685850064634,49
ewf,random,"{""cost"": ""newsvendor"", ""eta"": 3.727593720314938e-05, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.0, ""underage"": null}",3631716.0,117152.12903225806,90.45527568351129,51
ewf,random,"{""cost"": ""newsvendor"", ""eta"": 0.00011513953993264469, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3628377.0,117044.41935483871,90.37211109533666,52
ewf,random,"{""cost"": ""newsvendor"", ""eta"": 0.00016768329368110067, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3626416.0,116981.16129032258,90.32326840069442,53
ewf,random,"{""cost"": ""newsvendor"", ""eta"": 0.00016768329368110067, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3626416.0,116981.16129032258,90.32326840069442,53
ewf,random,"{""cost"": ""newsvendor"", ""eta"": 0.0010985411419875584, ""feedback"": ""censored"", ""gamma"": 0.02, ""overage"": null, ""share_alpha"": 0.03225806451612903, ""underage"": null}",3623267.0,116879.58064516129,90.24483614907358,55
ewf,random,"{""cost"": ""newsvendor"", ""eta"": 4.498432668969444e-05, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3620321.0,116784.54838709677,90.17146002545499,56
ewf,random,"{""cost"": ""newsvendor"", ""eta"": 4.498432668969444e-05, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3620321.0,116784.54838709677,90.17146002545499,56
ewf,random,"{""cost"": ""newsvendor"", ""eta"": 4.498432668969444e-05, ""feedback"": ""censored"", ""gamma"": 0.05, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3620321.0,116784.54838709677,90.17146002545499,56
ewf,random,"{""cost"": ""newsvendor"", ""eta"": 0.0005179474679231213, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3619851.0,116769.3870967742,90.15975371924293,59
ewf,random,"{""cost"": ""newsvendor"", ""eta"": 0.0005179474679231213, ""feedback"": ""censored"", ""gamma"": 0.0, ""overage"": null, ""share_alpha"": 0.1, ""underage"": null}",3619851.0,116769.3870967742,90.15975371924293,59
